date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:09:47	30/30	---M--	200	added ('OK')	text/plain	etag:%223380536915%22	https://asharamisynergy.com/robots.txt		(from )
17:09:47	38757/38757	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:09:47%20GMT	https://asharamisynergy.com/	C:/My%20Web%20Sites/hermes/asharamisynergy.com/index.html	(from )
17:09:48	8432/8432	---M--	200	added ('OK')	image/png	etag:%2220f0-587e458b36b80%22	https://asharamisynergy.com/assets/img/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/img/favicon/apple-touch-icon.png	(from https://asharamisynergy.com/)
17:09:49	1134/1134	---M--	200	added ('OK')	image/png	etag:%2246e-587e458a42940%22	https://asharamisynergy.com/assets/img/favicon/favicon-32x32.png	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/img/favicon/favicon-32x32.png	(from https://asharamisynergy.com/)
17:09:49	523/523	---M--	200	added ('OK')	image/png	etag:%2220b-587e458a42940%22	https://asharamisynergy.com/assets/img/favicon/favicon-16x16.png	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/img/favicon/favicon-16x16.png	(from https://asharamisynergy.com/)
17:09:50	1258/1258	---M--	200	added ('OK')	text/css	etag:%224ea-59256e27eef70%22	https://asharamisynergy.com/assets/css/slick.css	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/css/slick.css	(from https://asharamisynergy.com/)
17:09:51	2436/2436	---M--	200	added ('OK')	text/css	etag:%22984-59256e2574330%22	https://asharamisynergy.com/assets/css/slick-theme.css	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/css/slick-theme.css	(from https://asharamisynergy.com/)
17:09:52	26296/26296	---M--	200	added ('OK')	text/css	etag:%2266b8-59256e2453230%22	https://asharamisynergy.com/assets/css/lightgallery.css	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/css/lightgallery.css	(from https://asharamisynergy.com/)
17:09:53	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%225eb03d5d-65c5%22	https://cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.css	C:/My%20Web%20Sites/hermes/cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.css	(from https://asharamisynergy.com/)
17:09:54	153928/153928	---M--	200	added ('OK')	text/css	etag:%2225948-59256e22b0310%22	https://asharamisynergy.com/assets/css/app.css?15	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/css/app9bf3.css	(from https://asharamisynergy.com/)
17:09:55	70632/70632	---M--	200	added ('OK')	image/jpeg	etag:%22113e8-5e65e45a5b52d%22	https://asharamisynergy.com/imager/images/banners/47/home-trade_7bb39d.jpg?mtime=1563401318	C:/My%20Web%20Sites/hermes/asharamisynergy.com/imager/images/banners/47/home-trade_7bb39d0b7a.jpg	(from https://asharamisynergy.com/)
17:09:56	357/357	---MCZ	200	added ('OK')	text/plain	date:Mon,%2029%20Aug%202022%2016:09:55%20GMT	https://asharamisynergy.com/humans.txt	C:/My%20Web%20Sites/hermes/asharamisynergy.com/humans.txt	(from https://asharamisynergy.com/)
17:09:56	12332/12332	---M--	200	added ('OK')	image/svg+xml	etag:%22302c-587d6a276d080%22	https://asharamisynergy.com/assets/img/asharami-logo.svg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/img/asharami-logo.svg	(from https://asharamisynergy.com/)
17:09:58	35418/35418	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:09:57%20GMT	https://asharamisynergy.com/about	C:/My%20Web%20Sites/hermes/asharamisynergy.com/about.html	(from https://asharamisynergy.com/)
17:09:59	44008/44008	---M--	200	added ('OK')	image/jpeg	etag:%22abe8-5e64f659d8b32%22	https://asharamisynergy.com/imager/images/banners/387/about-header_2db6fe.jpg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/imager/images/banners/387/about-header_2db6fe.jpg	(from https://asharamisynergy.com/)
17:10:00	25102/25102	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:09:59%20GMT	https://asharamisynergy.com/business-solutions	C:/My%20Web%20Sites/hermes/asharamisynergy.com/business-solutions.html	(from https://asharamisynergy.com/)
17:10:01	35642/35642	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:00%20GMT	https://asharamisynergy.com/business-solutions/operations	C:/My%20Web%20Sites/hermes/asharamisynergy.com/business-solutions/operations.html	(from https://asharamisynergy.com/)
17:10:02	31515/31515	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:01%20GMT	https://asharamisynergy.com/business-solutions/asha-lubes	C:/My%20Web%20Sites/hermes/asharamisynergy.com/business-solutions/asha-lubes.html	(from https://asharamisynergy.com/)
17:10:03	23203/23203	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:02%20GMT	https://asharamisynergy.com/business-solutions/lpg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/business-solutions/lpg.html	(from https://asharamisynergy.com/)
17:10:04	27176/27176	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:03%20GMT	https://asharamisynergy.com/business-solutions/door-to-door	C:/My%20Web%20Sites/hermes/asharamisynergy.com/business-solutions/door-to-door.html	(from https://asharamisynergy.com/)
17:10:05	62781/62781	---M--	200	added ('OK')	image/jpeg	etag:%22f53d-5e64f659ed352%22	https://asharamisynergy.com/imager/images/banners/47/home-trade_2db6fe.jpg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/imager/images/banners/47/home-trade_2db6fe.jpg	(from https://asharamisynergy.com/)
17:10:05	39619/39619	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:05%20GMT	https://asharamisynergy.com/sustainability	C:/My%20Web%20Sites/hermes/asharamisynergy.com/sustainability.html	(from https://asharamisynergy.com/)
17:10:06	26433/26433	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:06%20GMT	https://asharamisynergy.com/investors	C:/My%20Web%20Sites/hermes/asharamisynergy.com/investors.html	(from https://asharamisynergy.com/)
17:10:07	31585/31585	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:07%20GMT	https://asharamisynergy.com/media	C:/My%20Web%20Sites/hermes/asharamisynergy.com/media.html	(from https://asharamisynergy.com/)
